프로그램,내용,대상,지원내용,신청방법,기관
경기도 재활공학서비스연구지원센터 운영,"○ 보조기기 상담․평가, 정보안내, 맞춤형 보조기기 지원으로 장애인들의 사회생활 편의 증진 도모 \
○ 한국형 보조기기 연구․개발을 통한 장애인의 경제적 부담 완화",['- 경기도 내 장애인'],"['- 보조기기 서비스 활성화 추진', '- 보조기기 관리 강화', '- 연구개발 사업', '- 기획 홍보 및 운영지원 사업']","['1) 수행기관', ' · 남부센터: ☎ 031-295-7363', ' · 북부센터: ☎ 031-852-7363']","['[경기도], [경기도청 홈페이지(https://www.gg.go.kr)', '          - 분야별정보-경기도민복지-장애인-공지사항-2021년 장애인복지 사업지침안내(1),(2)]']"
(특수교육대상자) 치료지원서비스,특수교육대상자의 교육을 효율적으로 실시하기 위해 제공,['- 특수교육대상자 중 치료지원대상자로 선정된 자'],"['- 치료사 채용, 바우처, 치료지원 제공기관(병‧의원, 장애인복지관, 사설치료실 등) 을 통해 물리치료, 작업치료 등을 지원', '□ 신청방법', '1) 신청방법: 시도교육청으로 신청']","['[교육부 홈페이지(https://moe.go.kr/) - 정책정보공표 – 초중고 교육', '-「2021년도 특수교육 운영계획」']", 
권역재활병원 공공재활프로그램 운영지원,"권역재활병원의 사회복귀, 방문재활, 장애아동 재활 등 공공재활프로그램 활성화를 통해 장애발생 후 입원기간을 단축하여 효과적 재활치료와 성공적인 사회복귀 도모","['- 권역재활병원 내원 환자 및 지역사회 장애인으로 공공재활 프로그램을 필요로', '하는 사람', '※ 권역재활병원 현황(전국 7개소): 경인재활의료센터병원, 강원도권역재활병원,', '대전충청권역의료재활센터, 호남권역 재활병원, 영남권역재활병원,', '제주권역재활병원, 경북권역재활병원']","['- 권역재활병원 재원환자를 대상으로 소아재활, 사회복귀 등을 위한 공공재활', '프로그램을 제공하여 가정과 사회에 조기 복귀를 유도함으로써 사회적·경제적', '비용을 절감하고, 지역사회연계를 통한 지속적·포괄적 공공재활의료서비스 제공', '‧ 방문재활프로그램, 건강증진(건강관리)프로그램, 장애아동재활프로그램,', '조기사회복귀지원, 여성장애인 건강관리프로그램 등 제공']","['1) 신청방법: 권역재활병원에 방문', '2) 문의: 보건복지부 장애인정책과 ☎ 044-202-3286']","['[보건복지부]', '[보건복지부 홈페이지(http://www.mohw.go.kr/)', '– 「2021년 권역재활병원 공공재활프로그램 운영지침」']"
발달재활서비스,"성장기 정신적, 감각적 장애아동의 인지, 의사소통, 적응행동, 감각, 운동 등의 기능향상과 행동발달을 위한 적절한 발달재활서비스 지원 및 정보제공","['- 만 18세 미만 장애 아동', '‧ 소득기준 : 기준중위소득 180% 이하(소득별 차등지원)']","['1) 급여액', '- 기초생활수급자: 월 22만원지원(본인부담금 면제)', '- 차상위계층: 월 20만원(본인부담금 2만원)', '- 기준중위소득65%이하: 월 18만원(본인부담금 4만원)', '- 기준중위소득120%이하: 월 16만원(본인부담금 6만원)', '- 기준중위소득180%이하: 월 14만원(본인부담금 8만원)', '2) 서비스내용', '- 언어·청능·미술심리재활·음악재활·행동·놀이심리·재활심리·감각발달재활·', '운동발달재활·심리운동 등 발달재활서비스 제공', '* 의료행위인 물리치료와 작업치료 등 의료기관에서 행해지는 의료지원 불가']","['1) 신청방법 : 방문', '- 읍/면/동에 신청', '2) 문의 : 보건복지상담센터 ☎ 129']","['[보건복지부]', '[보건복지부 홈페이지(http://www.mohw.go.kr/)', '– 정보 – 연구/조사/발간자료 – 2021년 장애아동 가족지원 사업안내(지침)']"
언어발달지원사업,감각적 장애 부모의 자녀에게 필요한 언어발달지원서비스를 제공하여 아동의 건강한 성장지원 및 장애가족의 자체 역량 강화,"['- 자격기준 : 만 12세 미만 비장애 아동', '(한쪽 부모 및 조손가정의 한쪽 부모가 시각, 청각, 언어, 지적, 자폐성,', '뇌병변 등록장애인)', '- 소득기준 : 기준 중위소득 120% 이하 (소득별 차등지원)']","['- 바우처 지원액', '· 기초생활수급자: 월 22만원 지원(본인부담금 면제)', '· 차상위계층: 월 20만원 (본인부담금 2만원)', '· 기준중위소득 65%이하: 월 18만원 (본인부담금 4만원)', '· 기준중위소득 120%이하: 월 16만원 (본인부담금 6만원)', '· 서비스내용 : 언어재활, 청능재활 등 언어재활서비스, 독서지도, 수어지도', '* 논술지도, 학습지도 등 교과목 수업 불가, 학습지를 사용한 지도 불가']","['1) 신청방법 : 시군구, 읍면동주민센터 방문신청', '2) 문의: 보건복지상담센터 ☎ 129', '3) 참고: 사회서비스 전자바우처 www.socialservice.or.kr']","['[보건복지부]', '[보건복지부 홈페이지(http://www.mohw.go.kr/)', '– 정보 – 연구/조사/발간자료 – 2021년 장애아동 가족지원 사업']"
척수장애인재활훈련지원,"척수장애인을 위한 심리재활, 사회재활, 동료상담가 파견, 지역사회복귀훈련",['- 척수장애인'],"['○종합상담실, 솔루션위원회, 동료상담, 가족상담, 정보제공 등 상담사업', '○척수장애인 활동가 양성 및 역량강화(정보메신저, 지역사회복귀훈련', '코디네이터 등), 센터 직원연수 등 교육사업', '○찾아가는 정보메신저 파견, 찾아가는 헬스케어, 지역사회복귀훈련 코디네이터 파견', '등 파견사업', '○초기 및 칩거 척수장애인 발굴, 지역사회복귀훈련, 일상홈 운영, 가족 기능', '강화 등 재활지원사업', '○기타 척수장애인 및 가족의 장애수용 및 사회복귀를 지원하는 사업', '○효율적 운영을 위해 중앙회는 ‘중앙센터’, 시․도 협회는 ‘지역센터’에서 운영']","['1) 신청방법', '- 한국척수장애인협회에 초기상담 후 신청', '2) 문의', '- 한국척수장애인협회 ☎ 1599-1991']","['[보건복지부]', '[보건복지부 홈페이지(http://www.mohw.go.kr/)', '– 정보 – 법령 – 훈령/예규/고시/지침 – 2021년 장애복지사업안내 2권']"
국가유공자보철구지급,"국가유공상이자의 신체기능장애나 활동력이 상실된 부분을 보충, 정형 또는
보완하여 주는 장구를 지급하여 생활의 편의 제공","['- 상이를 입은 국가유공자 등', '- 애국지사', '- 5.18민주화운동부상자', '- 고엽제후유의증환자 :', '- 재해부상군경 및 재해부상공무원 :', '- 국가유공자 등']","['- 보철구 승인 수가를 적용해 해당 부상 부분에 대한 보철구 지급', '‧ 보철구 지급 우선순위에 따라 취형 대상자를 결정하여 취형 대상자 또는', '장착 대상자에게 1개월 전까지 개별적으로 통지', '‧ 보철구 신청자의 편의를 위하여 가능한 한 보철구를 방문 또는 탁송하여 지급']","['1) 신청방법: 국가보훈처에 방문, 전화로 신청', '2) 문의: 보훈상담센터(☎1577-0606)', '- 국가보훈처 http://www.mpva.go.kr', '- 한국보훈복지의료공단 http://www.bohun.or.kr']","['[국가보훈처]', '[국가보훈처 홈페이지 http://www.mpva.go.kr )', '– (근거법령) 국가유공자 등 보철구 지급규정']"
의료급여 노인의치(틀니) 지원,"틀니 및 치과임플란트에 대하여 의료급여를 실시하여 노인 수급권자의 경제적 부담을 완화하고, 구강건강을 향상",['- 만 65세 이상 의료급여수급권자'],"['- (급여대상) 레진상 완전틀니, 금속상 완전틀니, 클라스프 부분틀니, 사전 임시', '틀니,사후 유지관리', '- (본인부담) 1종 수급권자 5%, 2종 수급권자 15% 부분틀니 지대치는 별도 본인', '부담(비급여)', '- (급여횟수) 원칙적으로 7년에 1회 적용. 사전등록제 실시로 틀니 수급권자', '이력관리*가 가능하므로 중복급여 여부 확인']","['1) 신청방법: 시군구 읍면동 주민센터 방문', '2) 문의', '- 보건복지상담센터 ☎ 129', '- 보건복지부 기초의료보장과 ☎ 044-202-3098', '- 건강보험심사평가원 ☎ 1644-2000']","['[보건복지부],', '보건복지부 홈페이지(http://www.mohw.go.kr/) - 정보 – 연구/조사/발간자료', '- 2021 의료급여사업안내']"
보험급여(건강보험 장애인보조기기),건강보험가입자 중 장애인에 대한 특례로 보장구 보험급여를 적용,['- 건강보험가입자 및 피부양자 중 ‘장애인복지법’에 따라 등록한 장애인'],"['- 적용대상 품목의 기준액 범위내에서 구입비용의 90%를 공단에서 부담', '- 전동휠체어, 전동스쿠터 및 자세보조용구는 고시금액, 구입금액, 기준금액 중', '낮은 금액의 90% 지원']","['1) 신청방법: 국민건강보험공단 방문, 우편 등 신청', '2) 문의', '- 보건복지부 콜센터(☎129), http://www.129.go.kr', '- 국민건강보험공단 상담센터(☎1577-1000), http://www.nhis.or.kr']","['[국민건강보험공단],', '[국민건강보험공단 홈페이지 (https://hi.nhis.or.kr/) - 제도소개 - 보험급여']"
요양급여(보조기)-산재보험급여,"근로자가 업무상 사유에 의하여 부상을 당하거나 질병이 발생하여 신체 부위 또는 기능 상실에 대한 보조를 위하여 의학적으로 필요한 경우 재활보조기구 비용
(요양급여)을 지급하여 근로자의 재활 및 사회 복귀를 촉진하기 위함","['- 업무상 재해로 인하여 장해가 발생되어 재활보조기구 지급 대상에 해당하는', '산재근로자']","['- 재활보조기 230개 품목 구입비용과 수리비용 지급', '· 재활보조기 수리료 115개 품목', '※ 재활보조기구는 요양 종결 시 필요한 경우에 지급하나 아래의 경우 치료', '중에도 지급 가능', '· 사지절단환자 또는 신경마비 등으로 인하여 치료종결 후에도 계속적으로 재활', '보조기구의 장착이 의학적으로 필요한 경우', '· 경추,흉추,요추 등 척추손상 또는 척추질환의 치료를 위해 보조기 착용이 의학적 으로 필요한 경우', '· 관절손상 등으로 인한 관절운동의 제한 또는 관절의 고정을 위하여 보조기', '착용이 의학적으로 필요한 경우', '· 하지골절로 인하여 통원치료시 목발이 의학적으로 필요한 경우']","['1) 신청방법: 방문, 우편', '2) 문의', '- 근로복지공단 대표번호 ☎ 1588-0075', '- 고용노동부 고객상담센터 ☎ 1350', '3) 참고', '- 고용산재보험 토털서비스 http://total.kcomwel.or.kr', '- 근로복지공단 http://www.kcomwel.or.kr']","['[근로복지공단], 근로복지공단 http://www.kcomwel.or.kr', '- 산업재해보상보험법 시행규칙']"
