프로그램명,설명,담당자이름,담당기관,담당자연락처,신청자격,연결URL,신청방법
주말 장애인 수영,"토 25,000원일 25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
주말 장애인 수영,"토 25,000원일 25,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/106,
어린이 수영(종합반),"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
어린이 소그룹반,"140,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
어린이 수영(종합반),"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
어린이 소그룹반,"140,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
직장인 수영,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
직장인 수영,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
직장인 수영,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
직장인 수영,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
직장인 수영,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
직장인 수영,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
직장인 수영,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
직장인 수영,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
주말 성인 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
주말 성인 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
주말 성인 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
주말 성인 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
주말 성인 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
주말 성인 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
주말 성인 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
주말 성인 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/106,
주말 어린이 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
주말 어린이 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
주말 어린이 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
주말 어린이 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
주말 어린이 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
주말 어린이 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
주말 어린이 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
주말 어린이 수영,"토 100,000원일 100,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/106,
헬스,"500명; 성인50,000원장애인25,000원※ 상담 후 수업가능",,서부산권장애인스포츠센터,"051) 203-7780,9670",,https://www.sbsd.kr/Home/107,
미라클모닝요가,"70,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/121,
미라클모닝요가,"70,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/121,
스트레칭&코어,"50,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/121,
다이어트댄스,"70,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/121,
다이어트댄스,"70,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/121,
성인발레,"48,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/121,
성인발레,"48,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/121,
장애인 GX수업  -요일별 프로그램  -상담 후 수업가능,"30,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인  ※ 상담 후 수업가능,https://www.sbsd.kr/Home/121,
장애인 GX수업  -요일별 프로그램  -상담 후 수업가능,"30,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인  ※ 상담 후 수업가능,https://www.sbsd.kr/Home/121,
키즈방송댄스,"42,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/121,
키즈방송댄스,"42,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/121,
키즈발레,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/121,
키즈발레,"35,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",어린이,https://www.sbsd.kr/Home/121,
필라테스,"70,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/121,
필라테스,"70,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/121,
배드민턴,"성인 월수금  50,000원  화목  30,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/108,
배드민턴,"성인 월수금  50,000원  화목  30,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/108,
배드민턴,"성인 월수금  50,000원  화목  30,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/108,
배드민턴,"성인 월수금  50,000원  화목  30,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/108,
배드민턴,"성인 월수금  50,000원  화목  30,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/108,
배드민턴,"성인 월수금  50,000원  화목  30,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/108,
배드민턴,"성인 월수금  50,000원  화목  30,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/108,
배드민턴,"성인 월수금  50,000원  화목  30,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",성인,https://www.sbsd.kr/Home/108,
배드민턴,"33,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/108,
배드민턴,"22,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/108,
탁구,"33,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/108,
탁구,"22,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인,https://www.sbsd.kr/Home/108,
배드민턴,"장애인월수금33,000원화목22,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인※ 상담 후 수업가능,https://www.sbsd.kr/Home/108,
배드민턴,"장애인월수금33,000원화목22,000원",,서부산권장애인스포츠센터,"051) 203-7780,9670",장애인※ 상담 후 수업가능,https://www.sbsd.kr/Home/108,
NaN,nan,,서부산권장애인스포츠센터,"051) 203-7780,9670",NaN,https://www.sbsd.kr/Home/108,
