Programs,Content,Company,Tel,Name,Applicant,Apply,Url
경기도 재활공학서비스연구지원센터 운영, 보조기기 서비스 활성화 추진 보조기기 관리 강화 연구개발 사업 기획 홍보 및 운영지원 사업,경기도장애인복지종합지원센터,031-299-5000,, 경기도 내 장애인,1) 수행기관 · 남부센터 ☎ 031-295-7363 · 북부센터 ☎ 031-852-7363,https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=10
(특수교육대상자) 치료지원서비스," 치료사 채용, 바우처, 치료지원 제공기관(병‧의원, 장애인복지관, 사설치료실 등) 을 통해 물리치료, 작업치료 등을 지원□ 신청방법1) 신청방법: 시도교육청으로 신청",경기도장애인복지종합지원센터,031-299-5000,, 특수교육대상자 중 치료지원대상자로 선정된 자,[교육부 홈페이지(https//moe.go.kr/) - 정책정보공표 – 초중고 교육-「2021년도 특수교육 운영계획」,https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=10
권역재활병원 공공재활프로그램 운영지원," 권역재활병원 재원환자를 대상으로 소아재활, 사회복귀 등을 위한 공공재활프로그램을 제공하여 가정과 사회에 조기 복귀를 유도함으로써 사회적·경제적비용을 절감하고, 지역사회연계를 통한 지속적·포괄적 공공재활의료서비스 제공‧ 방문재활프로그램, 건강증진(건강관리)프로그램, 장애아동재활프로그램,조기사회복귀지원, 여성장애인 건강관리프로그램 등 제공",경기도장애인복지종합지원센터,031-299-5000,," 권역재활병원 내원 환자 및 지역사회 장애인으로 공공재활 프로그램을 필요로하는 사람※ 권역재활병원 현황(전국 7개소): 경인재활의료센터병원, 강원도권역재활병원,대전충청권역의료재활센터, 호남권역 재활병원, 영남권역재활병원,제주권역재활병원, 경북권역재활병원", 권역재활병원에 방문,https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=10
발달재활서비스,1) 급여액 기초생활수급자: 월 22만원지원(본인부담금 면제) 차상위계층: 월 20만원(본인부담금 2만원) 기준중위소득65%이하: 월 18만원(본인부담금 4만원) 기준중위소득120%이하: 월 16만원(본인부담금 6만원) 기준중위소득180%이하: 월 14만원(본인부담금 8만원)2) 서비스내용 언어·청능·미술심리재활·음악재활·행동·놀이심리·재활심리·감각발달재활·운동발달재활·심리운동 등 발달재활서비스 제공* 의료행위인 물리치료와 작업치료 등 의료기관에서 행해지는 의료지원 불가,경기도장애인복지종합지원센터,031-299-5000,, 만 18세 미만 장애 아동‧ 소득기준 : 기준중위소득 180% 이하(소득별 차등지원),  방문- 읍/면/동에 신청,https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=10
언어발달지원사업," 바우처 지원액· 기초생활수급자: 월 22만원 지원(본인부담금 면제)· 차상위계층: 월 20만원 (본인부담금 2만원)· 기준중위소득 65%이하: 월 18만원 (본인부담금 4만원)· 기준중위소득 120%이하: 월 16만원 (본인부담금 6만원)· 서비스내용 : 언어재활, 청능재활 등 언어재활서비스, 독서지도, 수어지도* 논술지도, 학습지도 등 교과목 수업 불가, 학습지를 사용한 지도 불가",경기도장애인복지종합지원센터,031-299-5000,," 자격기준 : 만 12세 미만 비장애 아동(한쪽 부모 및 조손가정의 한쪽 부모가 시각, 청각, 언어, 지적, 자폐성,뇌병변 등록장애인) 소득기준 : 기준 중위소득 120% 이하 (소득별 차등지원)","  시군구, 읍면동주민센터 방문신청",https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=10
척수장애인재활훈련지원,"○종합상담실, 솔루션위원회, 동료상담, 가족상담, 정보제공 등 상담사업○척수장애인 활동가 양성 및 역량강화(정보메신저, 지역사회복귀훈련코디네이터 등), 센터 직원연수 등 교육사업○찾아가는 정보메신저 파견, 찾아가는 헬스케어, 지역사회복귀훈련 코디네이터 파견등 파견사업○초기 및 칩거 척수장애인 발굴, 지역사회복귀훈련, 일상홈 운영, 가족 기능강화 등 재활지원사업○기타 척수장애인 및 가족의 장애수용 및 사회복귀를 지원하는 사업○효율적 운영을 위해 중앙회는 ‘중앙센터’, 시․도 협회는 ‘지역센터’에서 운영",경기도장애인복지종합지원센터,031-299-5000,, 척수장애인,- 한국척수장애인협회에 초기상담 후 신청,https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=10
국가유공자보철구지급, 보철구 승인 수가를 적용해 해당 부상 부분에 대한 보철구 지급‧ 보철구 지급 우선순위에 따라 취형 대상자를 결정하여 취형 대상자 또는장착 대상자에게 1개월 전까지 개별적으로 통지‧ 보철구 신청자의 편의를 위하여 가능한 한 보철구를 방문 또는 탁송하여 지급,경기도장애인복지종합지원센터,031-299-5000,, 상이를 입은 국가유공자 등 애국지사 5.18민주화운동부상자 고엽제후유의증환자 : 재해부상군경 및 재해부상공무원 : 국가유공자 등," 국가보훈처에 방문, 전화로 신청",https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=10
의료급여 노인의치(틀니) 지원," (급여대상) 레진상 완전틀니, 금속상 완전틀니, 클라스프 부분틀니, 사전 임시틀니,사후 유지관리 (본인부담) 1종 수급권자 5%, 2종 수급권자 15% 부분틀니 지대치는 별도 본인부담(비급여) (급여횟수) 원칙적으로 7년에 1회 적용. 사전등록제 실시로 틀니 수급권자이력관리*가 가능하므로 중복급여 여부 확인",경기도장애인복지종합지원센터,031-299-5000,, 만 65세 이상 의료급여수급권자, 시군구 읍면동 주민센터 방문,https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=10
보험급여(건강보험 장애인보조기기)," 적용대상 품목의 기준액 범위내에서 구입비용의 90%를 공단에서 부담 전동휠체어, 전동스쿠터 및 자세보조용구는 고시금액, 구입금액, 기준금액 중낮은 금액의 90% 지원",경기도장애인복지종합지원센터,031-299-5000,, 건강보험가입자 및 피부양자 중 ‘장애인복지법’에 따라 등록한 장애인," 국민건강보험공단 방문, 우편 등 신청",https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=10
요양급여(보조기)-산재보험급여," 재활보조기 230개 품목 구입비용과 수리비용 지급· 재활보조기 수리료 115개 품목※ 재활보조기구는 요양 종결 시 필요한 경우에 지급하나 아래의 경우 치료중에도 지급 가능· 사지절단환자 또는 신경마비 등으로 인하여 치료종결 후에도 계속적으로 재활보조기구의 장착이 의학적으로 필요한 경우· 경추,흉추,요추 등 척추손상 또는 척추질환의 치료를 위해 보조기 착용이 의학적 으로 필요한 경우· 관절손상 등으로 인한 관절운동의 제한 또는 관절의 고정을 위하여 보조기착용이 의학적으로 필요한 경우· 하지골절로 인하여 통원치료시 목발이 의학적으로 필요한 경우",경기도장애인복지종합지원센터,031-299-5000,, 업무상 재해로 인하여 장해가 발생되어 재활보조기구 지급 대상에 해당하는산재근로자," 방문, 우편",https://www.ggnurim.or.kr/main/uss/olp/faq/FaqListInqire.do?qestnCn=10
